comentario,ciudad,id,nombre,edad,género,categoría_del_problema,nivel_de_urgencia,fecha_del_reporte,acceso_a_internet,atención_previa_del_gobierno,zona_rural
falta agua potable en varias casas.,Cartagena,3973,Pedro,66.0,M,Salud,Urgente,2024-04-22,0,0,1
falta agua potable en varias casas.,Medellín,3974,Jorge,44.0,Otro,Seguridad,No urgente,2023-05-31,1,0,0
las basuras no se recogen a tiempo.,Pereira,3975,Jorge,75.0,Otro,Salud,Urgente,2024-07-08,1,0,1
no tenemos centros culturales ni bibliotecas.,Manizales,3976,Sofía,25.0,M,Seguridad,No urgente,2023-11-03,0,0,0
falta agua potable en varias casas.,Bogotá,3977,Ana,,Otro,Salud,No urgente,2023-08-30,0,0,0
no hay suficientes escuelas públicas.,Bogotá,3978,Pedro,62.0,Otro,Seguridad,Urgente,2023-04-19,1,0,1
falta agua potable en varias casas.,Medellín,3979,María,16.0,,Medio Ambiente,No urgente,2024-10-17,1,0,1
faltan médicos en el centro de salud.,Cartagena,3980,Sofía,29.0,F,Medio Ambiente,No urgente,2023-02-20,1,0,0
necesitamos más acceso a internet en la zona.,Barranquilla,3981,Jorge,79.0,Otro,Medio Ambiente,No urgente,2023-01-01,0,1,1
hay problemas con la recolección de basura.,Santa Marta,3982,Pedro,34.0,F,Medio Ambiente,Urgente,2024-06-16,1,0,1
faltan médicos en el centro de salud.,Santa Marta,3983,Sofía,58.0,Otro,Medio Ambiente,No urgente,2023-08-17,0,0,1
las basuras no se recogen a tiempo.,Bucaramanga,3984,María,70.0,Otro,Salud,No urgente,2024-05-15,1,0,0
las calles están muy oscuras y peligrosas.,Cúcuta,3985,Juan,18.0,F,Educación,Urgente,2023-09-10,0,0,1
faltan médicos en el centro de salud.,Pereira,3986,María,30.0,F,Salud,No urgente,2023-12-07,1,1,1
falta agua potable en varias casas.,Manizales,3987,Juan,72.0,Otro,Salud,Urgente,2024-08-22,0,1,0
no hay suficientes escuelas públicas.,Santa Marta,3988,Pedro,80.0,F,Medio Ambiente,No urgente,2024-05-02,0,1,1
las calles están muy oscuras y peligrosas.,Cúcuta,3989,Jorge,57.0,M,Educación,Urgente,2023-08-14,0,0,0
queremos más presencia policial.,Manizales,3990,Carlos,53.0,M,Salud,Urgente,2024-04-29,0,0,0
necesitamos más acceso a internet en la zona.,Medellín,3991,Pedro,47.0,Otro,Educación,Urgente,2024-01-18,0,0,0
las basuras no se recogen a tiempo.,Manizales,3992,Valentina,42.0,F,Salud,Urgente,2023-04-01,0,1,1
las calles están muy oscuras y peligrosas.,Cartagena,3993,Juan,77.0,F,Seguridad,Urgente,2023-07-23,1,0,1
,Cartagena,3994,Sofía,29.0,F,Medio Ambiente,No urgente,2024-05-01,0,1,0
no tenemos centros culturales ni bibliotecas.,Medellín,3995,Juan,,,Educación,No urgente,2024-04-15,0,0,1
la contaminación del río está aumentando.,Pereira,3996,Laura,51.0,M,Medio Ambiente,Urgente,2023-01-14,0,1,1
,Cúcuta,3997,Juan,77.0,M,Medio Ambiente,Urgente,2023-06-23,0,0,1
no hay suficientes escuelas públicas.,Barranquilla,3998,Ana,33.0,M,Educación,Urgente,2023-09-18,0,1,0
faltan médicos en el centro de salud.,Bogotá,3999,Jorge,79.0,,Educación,No urgente,2023-07-28,1,0,0
necesitamos más acceso a internet en la zona.,Medellín,4000,Laura,36.0,Otro,Educación,Urgente,2024-01-31,1,0,0
faltan médicos en el centro de salud.,Pereira,4001,Sofía,65.0,Otro,Seguridad,No urgente,2023-12-31,1,0,0
no tenemos centros culturales ni bibliotecas.,Medellín,4002,Sofía,39.0,F,Salud,No urgente,2024-08-01,1,0,0
necesitamos más acceso a internet en la zona.,Cali,4003,Sofía,47.0,Otro,Seguridad,No urgente,2024-03-12,0,1,1
queremos más presencia policial.,Bucaramanga,4004,Ana,45.0,F,Medio Ambiente,No urgente,2023-11-13,0,1,1
no tenemos centros culturales ni bibliotecas.,Cali,4005,Laura,57.0,Otro,Seguridad,No urgente,2023-09-22,0,0,0
no hay suficientes escuelas públicas.,Santa Marta,4006,Pedro,28.0,M,Educación,No urgente,2023-12-19,0,0,1
la contaminación del río está aumentando.,Manizales,4007,Camilo,26.0,,Medio Ambiente,Urgente,2023-08-04,1,0,0
las calles están muy oscuras y peligrosas.,Barranquilla,4008,Camilo,63.0,F,Medio Ambiente,Urgente,2023-03-31,0,1,1
queremos más presencia policial.,Medellín,4009,Jorge,71.0,Otro,Medio Ambiente,No urgente,2024-01-30,0,0,1
queremos más presencia policial.,Cartagena,4010,Ana,37.0,M,Educación,Urgente,2023-04-15,1,1,1
queremos más presencia policial.,Barranquilla,4011,Laura,44.0,F,Medio Ambiente,Urgente,2023-09-15,1,0,0
hay problemas con la recolección de basura.,Pereira,4012,Sofía,24.0,F,Medio Ambiente,Urgente,2024-10-27,1,1,0
queremos más presencia policial.,Medellín,4013,Juan,64.0,Otro,Educación,No urgente,2024-04-20,0,0,0
necesitamos más acceso a internet en la zona.,Pereira,4014,María,47.0,Otro,Educación,No urgente,2023-09-03,0,1,1
,Pereira,4015,Camilo,32.0,M,Medio Ambiente,Urgente,2024-07-18,0,0,1
la contaminación del río está aumentando.,Bogotá,4016,Juan,30.0,Otro,Seguridad,No urgente,2023-04-20,1,1,0
las calles están muy oscuras y peligrosas.,Cúcuta,4017,Carlos,,F,Seguridad,Urgente,2023-01-26,1,0,1
las calles están muy oscuras y peligrosas.,Cali,4018,Camilo,28.0,F,Medio Ambiente,No urgente,2024-02-09,0,0,1
necesitamos más acceso a internet en la zona.,,4019,María,29.0,F,Educación,No urgente,2024-07-28,0,0,0
no hay suficientes escuelas públicas.,Manizales,4020,Ana,72.0,M,Medio Ambiente,No urgente,2023-04-13,0,0,0
la contaminación del río está aumentando.,Cúcuta,4021,Carlos,78.0,,Salud,No urgente,2024-05-21,0,1,1
queremos más presencia policial.,Bucaramanga,4022,Carlos,22.0,M,Salud,Urgente,2024-10-24,1,0,0
faltan médicos en el centro de salud.,Santa Marta,4023,Sofía,58.0,M,Educación,No urgente,2023-10-05,0,0,1
necesitamos más acceso a internet en la zona.,Bucaramanga,4024,Valentina,51.0,Otro,Salud,No urgente,2024-03-02,0,1,0
las calles están muy oscuras y peligrosas.,Cartagena,4025,Juan,16.0,F,Seguridad,Urgente,2024-08-02,1,0,0
faltan médicos en el centro de salud.,Barranquilla,4026,María,72.0,Otro,Medio Ambiente,Urgente,2023-08-09,0,0,1
las calles están muy oscuras y peligrosas.,Santa Marta,4027,María,43.0,F,Educación,No urgente,2024-02-10,1,1,0
faltan médicos en el centro de salud.,Bucaramanga,4028,Carlos,45.0,Otro,Salud,No urgente,2024-03-12,0,1,1
hay problemas con la recolección de basura.,Barranquilla,4029,Carlos,68.0,M,Medio Ambiente,No urgente,2024-09-04,1,1,1
faltan médicos en el centro de salud.,Bucaramanga,4030,Camilo,43.0,M,Seguridad,Urgente,2023-11-30,0,0,0
queremos más presencia policial.,Pereira,4031,Valentina,46.0,F,Educación,Urgente,2024-03-04,1,0,0
no hay suficientes escuelas públicas.,Barranquilla,4032,Juan,68.0,F,Salud,Urgente,2023-02-10,1,1,0
falta agua potable en varias casas.,Manizales,4033,Pedro,39.0,,Educación,No urgente,2023-10-14,0,1,1
queremos más presencia policial.,Barranquilla,4034,María,28.0,Otro,Educación,Urgente,2024-09-26,1,0,1
,Santa Marta,4035,Valentina,20.0,M,Salud,Urgente,2024-07-04,0,1,1
la contaminación del río está aumentando.,Cartagena,4036,Sofía,45.0,M,Seguridad,No urgente,2024-11-18,0,0,0
la contaminación del río está aumentando.,Bogotá,4037,Pedro,64.0,M,Educación,Urgente,2023-01-20,1,0,0
falta agua potable en varias casas.,Santa Marta,4038,María,73.0,Otro,Medio Ambiente,No urgente,2023-03-29,0,0,0
las basuras no se recogen a tiempo.,Cúcuta,4039,Ana,32.0,Otro,Seguridad,Urgente,2023-07-15,0,0,1
necesitamos más acceso a internet en la zona.,Pereira,4040,Juan,34.0,M,Educación,No urgente,2023-09-22,0,1,1
falta agua potable en varias casas.,Medellín,4041,María,31.0,F,Educación,No urgente,2024-03-03,0,1,0
hay problemas con la recolección de basura.,Santa Marta,4042,Carlos,35.0,Otro,Salud,Urgente,2024-01-29,1,0,0
las basuras no se recogen a tiempo.,Barranquilla,4043,Sofía,42.0,F,Seguridad,Urgente,2023-06-02,0,1,1
faltan médicos en el centro de salud.,Santa Marta,4044,Juan,61.0,M,Seguridad,No urgente,2024-08-14,0,0,0
queremos más presencia policial.,Bucaramanga,4045,Ana,25.0,F,Seguridad,No urgente,2023-08-29,0,1,1
la contaminación del río está aumentando.,Manizales,4046,Juan,27.0,F,Educación,No urgente,2023-05-13,0,0,1
la contaminación del río está aumentando.,Pereira,4047,Juan,68.0,M,Seguridad,Urgente,2024-09-03,1,1,1
las basuras no se recogen a tiempo.,Cali,4048,Laura,66.0,M,Salud,Urgente,2023-08-09,1,1,0
la contaminación del río está aumentando.,Manizales,4049,Laura,68.0,F,Salud,Urgente,2023-12-06,0,1,0
no hay suficientes escuelas públicas.,Bogotá,4050,Camilo,67.0,,Medio Ambiente,No urgente,2024-11-11,1,0,1
no hay suficientes escuelas públicas.,Manizales,4051,Laura,16.0,Otro,Medio Ambiente,Urgente,2024-09-11,1,1,0
falta agua potable en varias casas.,Bogotá,4052,Juan,77.0,M,Educación,No urgente,2023-05-23,0,1,1
las basuras no se recogen a tiempo.,Medellín,4053,María,45.0,M,Medio Ambiente,No urgente,2023-09-10,1,0,1
,Santa Marta,4054,Sofía,41.0,Otro,Educación,Urgente,2024-01-13,1,0,1
hay problemas con la recolección de basura.,Bucaramanga,4055,Carlos,55.0,F,Salud,Urgente,2024-05-06,0,0,1
las calles están muy oscuras y peligrosas.,Bogotá,4056,Pedro,43.0,M,Salud,Urgente,2024-02-16,0,1,1
queremos más presencia policial.,Cali,4057,Carlos,,M,Educación,Urgente,2024-02-22,0,1,0
hay problemas con la recolección de basura.,Barranquilla,4058,Laura,20.0,M,Medio Ambiente,Urgente,2024-05-04,1,0,1
las basuras no se recogen a tiempo.,Cali,4059,Pedro,21.0,F,Medio Ambiente,Urgente,2023-07-12,0,1,0
las basuras no se recogen a tiempo.,Barranquilla,4060,Laura,28.0,F,Medio Ambiente,No urgente,2024-10-19,1,0,1
hay problemas con la recolección de basura.,Bogotá,4061,Pedro,19.0,M,Salud,No urgente,2024-01-21,1,1,1
falta agua potable en varias casas.,Pereira,4062,Ana,53.0,M,Seguridad,Urgente,2023-09-02,1,0,0
queremos más presencia policial.,Manizales,4063,Ana,31.0,Otro,Educación,No urgente,2024-04-13,1,1,0
,Barranquilla,4064,Sofía,44.0,Otro,Medio Ambiente,No urgente,2023-11-21,1,1,0
necesitamos más acceso a internet en la zona.,Bucaramanga,4065,Camilo,,M,Seguridad,No urgente,2024-01-31,1,0,1
las basuras no se recogen a tiempo.,Barranquilla,4066,Pedro,65.0,Otro,Medio Ambiente,Urgente,2024-07-28,0,0,1
necesitamos más acceso a internet en la zona.,Santa Marta,4067,Camilo,34.0,M,Seguridad,No urgente,2023-04-10,0,0,0
las calles están muy oscuras y peligrosas.,Cartagena,4068,Camilo,37.0,M,Medio Ambiente,No urgente,2024-10-01,1,1,1
faltan médicos en el centro de salud.,Bogotá,4069,Valentina,37.0,F,Medio Ambiente,No urgente,2023-08-15,0,0,1
no tenemos centros culturales ni bibliotecas.,Bogotá,4070,Ana,39.0,Otro,Salud,No urgente,2024-03-01,1,1,0
necesitamos más acceso a internet en la zona.,Cali,4071,Pedro,18.0,M,Seguridad,Urgente,2023-03-05,1,0,0
no tenemos centros culturales ni bibliotecas.,Medellín,4072,María,49.0,Otro,Seguridad,Urgente,2023-11-20,1,1,0
falta agua potable en varias casas.,Santa Marta,4073,Sofía,63.0,F,Seguridad,No urgente,2023-01-28,0,0,0
necesitamos más acceso a internet en la zona.,Santa Marta,4074,Sofía,54.0,M,Medio Ambiente,No urgente,2023-01-08,1,1,0
las basuras no se recogen a tiempo.,Cali,4075,Laura,79.0,M,Medio Ambiente,Urgente,2024-03-05,0,1,1
necesitamos más acceso a internet en la zona.,Cartagena,4076,Laura,,F,Salud,No urgente,2024-10-03,0,1,1
las basuras no se recogen a tiempo.,Medellín,4077,Juan,,M,Seguridad,No urgente,2023-04-13,1,0,0
faltan médicos en el centro de salud.,Cúcuta,4078,Ana,43.0,M,Educación,No urgente,2023-05-19,0,0,0
faltan médicos en el centro de salud.,Santa Marta,4079,Ana,23.0,M,Salud,No urgente,2024-05-27,0,0,0
las basuras no se recogen a tiempo.,Medellín,4080,Ana,50.0,M,Medio Ambiente,No urgente,2023-02-13,1,0,0
no tenemos centros culturales ni bibliotecas.,Bucaramanga,4081,Carlos,17.0,Otro,Educación,No urgente,2023-11-13,1,1,0
necesitamos más acceso a internet en la zona.,Cartagena,4082,Pedro,18.0,F,Seguridad,No urgente,2023-08-05,0,0,1
las basuras no se recogen a tiempo.,Cartagena,4083,Pedro,57.0,M,Salud,Urgente,2023-07-24,0,1,1
necesitamos más acceso a internet en la zona.,Cali,4084,Pedro,53.0,Otro,Educación,No urgente,2023-03-13,1,0,1
hay problemas con la recolección de basura.,Pereira,4085,Pedro,63.0,M,Educación,Urgente,2024-01-27,1,1,0
necesitamos más acceso a internet en la zona.,Cartagena,4086,Valentina,,F,Seguridad,Urgente,2023-07-09,0,0,1
hay problemas con la recolección de basura.,Santa Marta,4087,Ana,24.0,F,Salud,Urgente,2023-06-07,1,0,1
falta agua potable en varias casas.,Pereira,4088,María,47.0,F,Salud,Urgente,2023-11-02,0,1,1
faltan médicos en el centro de salud.,Medellín,4089,Jorge,,Otro,Salud,Urgente,2023-06-02,0,0,0
las basuras no se recogen a tiempo.,Bucaramanga,4090,María,43.0,F,Educación,No urgente,2024-10-03,1,0,1
queremos más presencia policial.,Bogotá,4091,Laura,80.0,Otro,Medio Ambiente,Urgente,2023-05-29,0,0,0
necesitamos más acceso a internet en la zona.,Pereira,4092,Carlos,73.0,M,Salud,No urgente,2024-01-04,1,1,0
no hay suficientes escuelas públicas.,Pereira,4093,María,66.0,M,Salud,No urgente,2023-01-10,1,0,0
falta agua potable en varias casas.,Medellín,4094,Jorge,18.0,M,Salud,Urgente,2024-10-20,0,1,1
no tenemos centros culturales ni bibliotecas.,Manizales,4095,María,70.0,Otro,Salud,Urgente,2024-09-02,0,0,1
hay problemas con la recolección de basura.,Cúcuta,4096,Laura,40.0,F,Educación,No urgente,2024-09-22,0,0,0
necesitamos más acceso a internet en la zona.,Bucaramanga,4097,Pedro,42.0,F,Seguridad,No urgente,2023-08-19,0,0,0
no hay suficientes escuelas públicas.,Barranquilla,4098,Jorge,,Otro,Medio Ambiente,Urgente,2024-01-29,0,1,0
faltan médicos en el centro de salud.,Cúcuta,4099,Laura,43.0,F,Educación,No urgente,2024-11-13,1,1,0
queremos más presencia policial.,Bogotá,4100,Carlos,53.0,M,Medio Ambiente,Urgente,2024-04-02,1,1,0
no hay suficientes escuelas públicas.,Santa Marta,4101,Jorge,31.0,F,Seguridad,Urgente,2023-05-22,0,0,0
las calles están muy oscuras y peligrosas.,Bogotá,4102,María,79.0,,Seguridad,No urgente,2023-06-29,1,0,0
hay problemas con la recolección de basura.,Cali,4103,Carlos,,Otro,Salud,Urgente,2024-05-29,1,1,1
no hay suficientes escuelas públicas.,Bogotá,4104,María,22.0,Otro,Medio Ambiente,Urgente,2023-05-23,0,0,1
,Bucaramanga,4105,María,16.0,M,Seguridad,Urgente,2023-09-12,1,0,1
las basuras no se recogen a tiempo.,Cartagena,4106,Laura,28.0,M,Educación,No urgente,2023-05-18,0,1,1
no hay suficientes escuelas públicas.,,4107,Sofía,16.0,F,Salud,Urgente,2024-10-29,0,0,0
las basuras no se recogen a tiempo.,Santa Marta,4108,Laura,78.0,M,Seguridad,Urgente,2023-08-12,1,0,0
las calles están muy oscuras y peligrosas.,Pereira,4109,Sofía,15.0,M,Seguridad,No urgente,2023-06-01,1,1,1
queremos más presencia policial.,Barranquilla,4110,Laura,27.0,M,Medio Ambiente,No urgente,2024-04-01,0,0,1
no tenemos centros culturales ni bibliotecas.,Bogotá,4111,Pedro,72.0,M,Educación,No urgente,2024-05-03,1,0,1
faltan médicos en el centro de salud.,Cúcuta,4112,Ana,56.0,M,Educación,Urgente,2024-06-08,0,1,1
las basuras no se recogen a tiempo.,Bucaramanga,4113,Pedro,18.0,F,Salud,No urgente,2023-03-10,1,0,0
,,4114,Carlos,68.0,,Educación,No urgente,2024-05-26,1,0,1
falta agua potable en varias casas.,Pereira,4115,María,52.0,F,Salud,No urgente,2023-04-20,1,0,1
no tenemos centros culturales ni bibliotecas.,Medellín,4116,Laura,32.0,M,Medio Ambiente,Urgente,2024-04-09,0,1,0
las calles están muy oscuras y peligrosas.,Cali,4117,Carlos,60.0,M,Educación,Urgente,2023-02-09,0,1,0
queremos más presencia policial.,Bogotá,4118,Jorge,64.0,M,Educación,No urgente,2023-09-22,1,1,1
faltan médicos en el centro de salud.,Manizales,4119,Pedro,79.0,Otro,Salud,Urgente,2023-04-25,1,1,1
no hay suficientes escuelas públicas.,Cali,4120,Camilo,25.0,Otro,Educación,Urgente,2023-07-08,1,0,0
falta agua potable en varias casas.,Santa Marta,4121,Valentina,,Otro,Educación,Urgente,2024-09-08,1,1,0
las calles están muy oscuras y peligrosas.,Bucaramanga,4122,Juan,,Otro,Medio Ambiente,Urgente,2023-03-04,0,0,0
no hay suficientes escuelas públicas.,Cali,4123,Laura,49.0,F,Seguridad,No urgente,2024-10-25,1,1,1
faltan médicos en el centro de salud.,Pereira,4124,Jorge,54.0,M,Educación,No urgente,2023-09-09,0,0,1
no tenemos centros culturales ni bibliotecas.,Pereira,4125,Jorge,69.0,Otro,Medio Ambiente,No urgente,2024-09-17,1,1,0
la contaminación del río está aumentando.,Bucaramanga,4126,Sofía,36.0,F,Educación,No urgente,2023-05-30,1,1,0
no tenemos centros culturales ni bibliotecas.,Bogotá,4127,Jorge,30.0,Otro,Seguridad,Urgente,2024-05-13,0,1,0
las basuras no se recogen a tiempo.,Cúcuta,4128,Juan,29.0,Otro,Salud,No urgente,2023-04-05,1,1,0
necesitamos más acceso a internet en la zona.,Bucaramanga,4129,Pedro,57.0,Otro,Salud,No urgente,2024-11-11,1,1,0
queremos más presencia policial.,Cúcuta,4130,Valentina,20.0,Otro,Seguridad,Urgente,2024-10-10,0,0,0
las basuras no se recogen a tiempo.,Bucaramanga,4131,Ana,40.0,Otro,Educación,Urgente,2023-05-17,0,1,0
,Bogotá,4132,Pedro,47.0,F,Salud,Urgente,2024-09-27,0,1,1
necesitamos más acceso a internet en la zona.,Cartagena,4133,Sofía,67.0,Otro,Medio Ambiente,No urgente,2024-01-31,0,0,0
queremos más presencia policial.,Cali,4134,Pedro,26.0,M,Medio Ambiente,No urgente,2024-09-17,1,1,1
necesitamos más acceso a internet en la zona.,Cartagena,4135,Pedro,56.0,M,Salud,Urgente,2023-07-04,1,0,1
no hay suficientes escuelas públicas.,Medellín,4136,Ana,54.0,Otro,Medio Ambiente,Urgente,2023-07-20,1,1,1
necesitamos más acceso a internet en la zona.,Bucaramanga,4137,Carlos,42.0,,Seguridad,Urgente,2023-07-29,1,0,0
necesitamos más acceso a internet en la zona.,Barranquilla,4138,Ana,30.0,F,Medio Ambiente,No urgente,2024-03-09,1,0,1
faltan médicos en el centro de salud.,Cúcuta,4139,Sofía,18.0,Otro,Seguridad,Urgente,2023-09-22,1,1,0
no tenemos centros culturales ni bibliotecas.,Bucaramanga,4140,Juan,29.0,Otro,Seguridad,No urgente,2024-05-06,0,0,1
necesitamos más acceso a internet en la zona.,Cúcuta,4141,María,43.0,F,Educación,Urgente,2024-07-23,0,0,0
las calles están muy oscuras y peligrosas.,Cúcuta,4142,Camilo,23.0,F,Seguridad,No urgente,2023-08-10,0,0,0
hay problemas con la recolección de basura.,Barranquilla,4143,Sofía,46.0,M,Medio Ambiente,No urgente,2023-12-16,1,1,1
la contaminación del río está aumentando.,Barranquilla,4144,Pedro,52.0,F,Seguridad,No urgente,2024-02-09,0,0,0
,Medellín,4145,Ana,48.0,F,Seguridad,Urgente,2023-08-27,0,0,1
,Bucaramanga,4146,Carlos,18.0,M,Seguridad,Urgente,2023-09-18,1,1,1
,Pereira,4147,Laura,35.0,F,Salud,Urgente,2024-06-24,0,1,0
hay problemas con la recolección de basura.,Cartagena,4148,Carlos,17.0,M,Seguridad,No urgente,2024-02-14,1,1,1
faltan médicos en el centro de salud.,Pereira,4149,María,62.0,M,Medio Ambiente,Urgente,2023-02-26,1,0,0
no hay suficientes escuelas públicas.,Manizales,4150,María,24.0,M,Salud,Urgente,2023-06-16,0,0,0
queremos más presencia policial.,Pereira,4151,Laura,34.0,Otro,Salud,No urgente,2023-06-06,1,1,0
falta agua potable en varias casas.,Santa Marta,4152,Camilo,72.0,M,Seguridad,Urgente,2024-01-17,1,1,1
hay problemas con la recolección de basura.,Manizales,4153,Camilo,46.0,M,Seguridad,Urgente,2024-08-23,1,0,0
,Cartagena,4154,Laura,,F,Seguridad,No urgente,2023-06-12,1,1,1
falta agua potable en varias casas.,Cali,4155,Pedro,60.0,M,Salud,Urgente,2024-08-18,1,1,1
las basuras no se recogen a tiempo.,Cartagena,4156,Juan,64.0,M,Seguridad,No urgente,2024-06-13,0,1,0
falta agua potable en varias casas.,Santa Marta,4157,Laura,53.0,Otro,Seguridad,No urgente,2023-02-20,0,0,0
las basuras no se recogen a tiempo.,Manizales,4158,Camilo,54.0,M,Salud,No urgente,2023-08-13,0,1,1
necesitamos más acceso a internet en la zona.,Barranquilla,4159,Jorge,,Otro,Salud,Urgente,2024-08-16,1,0,1
la contaminación del río está aumentando.,Manizales,4160,Camilo,76.0,F,Salud,Urgente,2023-01-20,0,1,1
las calles están muy oscuras y peligrosas.,Santa Marta,4161,Sofía,34.0,Otro,Seguridad,Urgente,2023-02-16,1,0,0
no tenemos centros culturales ni bibliotecas.,Cali,4162,Juan,30.0,Otro,Medio Ambiente,Urgente,2023-03-29,0,1,1
no hay suficientes escuelas públicas.,Bogotá,4163,Juan,45.0,M,Educación,Urgente,2023-05-24,1,0,1
no tenemos centros culturales ni bibliotecas.,Bucaramanga,4164,Ana,50.0,F,Seguridad,Urgente,2023-10-07,1,0,0
la contaminación del río está aumentando.,Bogotá,4165,Sofía,56.0,M,Medio Ambiente,No urgente,2024-11-15,0,0,1
las calles están muy oscuras y peligrosas.,Cali,4166,Laura,79.0,M,Salud,No urgente,2023-07-18,1,0,1
faltan médicos en el centro de salud.,Medellín,4167,Ana,65.0,M,Seguridad,No urgente,2023-10-06,1,0,0
la contaminación del río está aumentando.,Bucaramanga,4168,Pedro,39.0,F,Salud,Urgente,2023-05-14,1,1,0
las basuras no se recogen a tiempo.,Manizales,4169,Jorge,76.0,F,Educación,No urgente,2023-02-01,0,0,0
falta agua potable en varias casas.,Medellín,4170,María,44.0,Otro,Medio Ambiente,No urgente,2024-06-22,0,1,1
no hay suficientes escuelas públicas.,Barranquilla,4171,Valentina,65.0,F,Salud,Urgente,2023-06-25,0,0,1
las basuras no se recogen a tiempo.,Pereira,4172,Pedro,78.0,M,Medio Ambiente,Urgente,2023-04-30,0,0,1
queremos más presencia policial.,Barranquilla,4173,Ana,77.0,Otro,Educación,No urgente,2023-02-12,1,1,1
no hay suficientes escuelas públicas.,Barranquilla,4174,Jorge,34.0,M,Salud,Urgente,2023-11-28,1,0,1
queremos más presencia policial.,Manizales,4175,Laura,80.0,M,Seguridad,No urgente,2024-10-07,1,1,0
las basuras no se recogen a tiempo.,Santa Marta,4176,María,60.0,M,Seguridad,No urgente,2023-01-25,1,0,0
queremos más presencia policial.,Cartagena,4177,Pedro,,F,Seguridad,No urgente,2024-03-22,1,1,0
no hay suficientes escuelas públicas.,Bucaramanga,4178,Ana,41.0,M,Seguridad,Urgente,2024-04-05,0,1,1
necesitamos más acceso a internet en la zona.,Cúcuta,4179,Ana,61.0,,Seguridad,Urgente,2023-01-24,0,0,1
no hay suficientes escuelas públicas.,Pereira,4180,Jorge,29.0,Otro,Seguridad,No urgente,2024-04-24,0,1,0
necesitamos más acceso a internet en la zona.,Bucaramanga,4181,Camilo,22.0,F,Medio Ambiente,Urgente,2024-08-28,1,0,1
falta agua potable en varias casas.,Pereira,4182,Laura,24.0,Otro,Educación,Urgente,2023-08-10,0,0,0
no tenemos centros culturales ni bibliotecas.,Santa Marta,4183,Juan,71.0,M,Medio Ambiente,Urgente,2024-01-30,0,1,0
hay problemas con la recolección de basura.,Santa Marta,4184,Camilo,,Otro,Salud,No urgente,2023-09-07,1,0,0
no hay suficientes escuelas públicas.,Manizales,4185,Pedro,28.0,M,Salud,No urgente,2023-03-04,0,0,1
las basuras no se recogen a tiempo.,Cali,4186,Valentina,29.0,M,Medio Ambiente,Urgente,2024-09-24,1,0,0
no tenemos centros culturales ni bibliotecas.,,4187,Laura,20.0,M,Medio Ambiente,No urgente,2024-11-09,1,0,0
no hay suficientes escuelas públicas.,Medellín,4188,Sofía,15.0,Otro,Salud,No urgente,2023-07-07,1,0,0
necesitamos más acceso a internet en la zona.,Pereira,4189,Jorge,19.0,F,Medio Ambiente,Urgente,2023-09-21,1,1,0
necesitamos más acceso a internet en la zona.,Bogotá,4190,Carlos,27.0,F,Educación,Urgente,2024-04-22,1,0,0
las basuras no se recogen a tiempo.,Cúcuta,4191,Valentina,58.0,F,Medio Ambiente,Urgente,2024-05-10,0,0,1
hay problemas con la recolección de basura.,Pereira,4192,María,32.0,M,Seguridad,Urgente,2024-01-02,0,1,0
queremos más presencia policial.,Manizales,4193,Ana,73.0,M,Medio Ambiente,Urgente,2023-07-05,0,1,1
la contaminación del río está aumentando.,Pereira,4194,Jorge,70.0,M,Seguridad,No urgente,2024-04-17,1,0,0
no tenemos centros culturales ni bibliotecas.,Barranquilla,4195,Juan,19.0,M,Educación,Urgente,2023-03-23,0,0,0
falta agua potable en varias casas.,Cali,4196,Pedro,34.0,F,Medio Ambiente,Urgente,2023-12-07,1,1,1
falta agua potable en varias casas.,Cartagena,4197,Laura,60.0,Otro,Medio Ambiente,Urgente,2023-09-07,0,0,1
necesitamos más acceso a internet en la zona.,Cali,4198,Jorge,46.0,Otro,Medio Ambiente,No urgente,2023-09-07,0,0,1
las basuras no se recogen a tiempo.,Cali,4199,María,17.0,Otro,Medio Ambiente,No urgente,2024-08-04,0,0,0
las calles están muy oscuras y peligrosas.,Bogotá,4200,María,24.0,F,Seguridad,No urgente,2023-07-08,0,1,1
las basuras no se recogen a tiempo.,Cúcuta,4201,María,53.0,Otro,Seguridad,Urgente,2023-09-04,1,1,1
no tenemos centros culturales ni bibliotecas.,Manizales,4202,Valentina,,F,Educación,Urgente,2024-09-16,0,0,1
hay problemas con la recolección de basura.,Barranquilla,4203,Sofía,68.0,M,Salud,Urgente,2024-06-08,0,1,1
necesitamos más acceso a internet en la zona.,Manizales,4204,Laura,65.0,Otro,Salud,No urgente,2023-03-16,0,0,0
las basuras no se recogen a tiempo.,Pereira,4205,María,46.0,F,Educación,No urgente,2023-12-10,1,1,1
queremos más presencia policial.,Cartagena,4206,Pedro,64.0,Otro,Salud,No urgente,2024-10-20,0,1,0
no hay suficientes escuelas públicas.,Bogotá,4207,Carlos,30.0,Otro,Educación,Urgente,2024-01-06,0,0,1
no hay suficientes escuelas públicas.,Cali,4208,Camilo,74.0,M,Salud,No urgente,2024-05-04,0,1,1
las basuras no se recogen a tiempo.,Cali,4209,Carlos,52.0,M,Educación,No urgente,2024-05-25,1,1,0
hay problemas con la recolección de basura.,Bucaramanga,4210,Ana,39.0,,Educación,Urgente,2023-07-15,0,0,1
las calles están muy oscuras y peligrosas.,Bogotá,4211,Jorge,48.0,M,Medio Ambiente,No urgente,2023-08-15,0,1,0
